	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_1	pvalues	ratio kmeans_1 to everything
Dnmt3b	0.951233545048427	0.17880836563203864	0.19028236793240083	0.15941183793380728	0.8578655424281202	0.9740645322233767
Erlin1	0.9512401741586832	0.6651105363834289	0.6870995849863496	0.6279385732689677	0.8579911608520042	0.964933301955699
Hddc3	0.9512401741586832	0.2544205797481059	0.24058121947069042	0.2778156887884987	0.8580386983953325	1.0300137296401237
Grina	0.9513321206762829	0.4524044072570291	0.43361523770379007	0.48416705102559976	0.858205232940485	1.0352617717727235
Mfap3	0.9514169897313983	0.427400465367574	0.40894274925345503	0.45860279498906076	0.8583653983806913	1.0352463191012684
Fkbpl	0.9514592740012235	0.1170007967723544	0.12605057488211172	0.10170236234871698	0.858487155135726	0.9783773366165691
Celsr2	0.9515505483554338	0.10637939566531161	0.11309467542467092	0.09502737511972803	0.8586531266311028	0.9837684064942188
Creb1	0.9515619068942361	0.9863722936164163	1.0100136556099566	0.9464071340559078	0.858769783548918	0.968355179390686
Gm36933	0.9515619068942361	0.1652396102895787	0.15287783119046683	0.18613690352855342	0.8588306103436466	1.0288487395960622
Exosc4	0.9515809113340146	0.2913944717831187	0.2783298668271045	0.3134798753992383	0.8590173510095154	1.0274968218175002
Gm17139	0.9515809113340146	0.13657046678516402	0.14606771650987388	0.12051559225053546	0.859066842712595	0.97770452487995
Gm26582	0.9515809113340146	0.08476118033134218	0.09215125323531345	0.07226843804129549	0.8591506854025738	0.9817948153837497
Ap4e1	0.9515809113340146	0.20902448654522748	0.22036778872926188	0.18984890428174078	0.8593133083729476	0.9749920599925866
Ubxn7	0.9515809113340146	0.958730436116039	0.9339507289841824	1.0006199410294154	0.8594404877598169	1.0344730664778887
Kpna2	0.9515809113340146	1.2099546928405922	1.1811054036172175	1.2587237293848688	0.859480843863867	1.0355866917934944
Fam221a	0.9515809113340146	0.4145150797660486	0.3961677984977274	0.44553072191011533	0.8595228279915189	1.0353560105493784
Leng8	0.9515809113340146	0.2843735795465206	0.29573438993438966	0.2651684000813133	0.8595453591837428	0.9764102966699648
Gtf2h2	0.9515809113340146	0.4049367647557626	0.4219504048199275	0.3761756113139599	0.8596003311523435	0.9678084458144203
Purb	0.9516001680122051	2.721394189599819	2.685387428677591	2.7822627616350153	0.8597013468658594	1.02628633619456
Gm6781	0.9516447332265575	0.0815575745585949	0.07673526916118929	0.08970956701611393	0.8598252326041709	1.0120496636699121
Fsd1l	0.9517032704806592	0.18117119679927018	0.19324135664322015	0.160766878967831	0.8599617513490877	0.9727846529165356
Rnf208	0.9517466382429371	0.1246003379273881	0.13370189304639313	0.10921437570240336	0.8600845718532834	0.978400391236722
Usp40	0.9517575467322476	1.1530638207460804	1.1824104541596572	1.103454035689796	0.8601780639842852	0.9638214624937436
Birc2	0.9519457900307008	0.915626219766232	0.9407738055085189	0.8731148248209376	0.8607468458426735	0.9651381420670744
6820402A03Rik	0.9519457900307008	0.5069175946024108	0.48744571602294773	0.5398343417248366	0.86078754142963	1.0352205294872627
Thap2	0.9519457900307008	0.3506660003284387	0.33663562935747315	0.3743840083984042	0.8608324326979879	1.0282413383362203
5430416N02Rik	0.9519457900307008	0.28352911937855585	0.2941161310684384	0.2656320281885162	0.860961999368334	0.9779895310814144
Cln3	0.9519457900307008	0.2921066728378701	0.27819846943087123	0.3156181595497016	0.8609714719104731	1.0292753363532752
Pygo2	0.9519457900307008	0.5184732810053417	0.4998179381191302	0.5500096939796515	0.8609776819485664	1.033465232402451
Ccdc18	0.9519457900307008	0.3968729384193357	0.38019957359043044	0.42505886467772314	0.8609984678772102	1.0325020322753733
Spag6	0.9519457900307008	0.17983052850067535	0.19298026989570183	0.15760120376146394	0.8610492392704444	0.9703439637460805
Maz	0.9519457900307008	0.38998178740365025	0.3743488790051923	0.4164088468391387	0.8611010511929731	1.030603559602996
