	adjusted_p_values	mean_all	mean_kmeans_0	pvalues	ratio kmeans_0 to kmeans_3
Ccdc130	0.9118618617217212	0.3703195531977033	0.4337965893142935	0.7923401716921726	1.0814441048473287
Cirh1a	0.9118618617217212	0.1184789305242611	0.11643838505153081	0.7923903295752286	1.0445987788679125
Ndor1	0.911929750788256	0.05109898287703144	0.04535480781522681	0.7925294582861029	0.9866390637957637
Ptdss1	0.9120131639220084	0.5415633653111311	0.5476172469418691	0.7927516897020346	0.9391545021488092
9530068E07Rik	0.9120131639220084	1.2993142723983966	1.4751213890966621	0.7927622335251764	1.065994956577735
Dnttip1	0.9122143141321972	0.21597490814330553	0.3431429872236529	0.7930172416265225	0.9464401469482718
Nrbp1	0.9125067136878166	0.6733705272612848	0.687298118886011	0.7933951477516106	0.9328782456369622
Gm10224	0.9125067136878166	0.1518118247700703	0.22656709971683722	0.7934318042127368	0.9796424751364384
Gm10221	0.9126726645633417	1.0288360381534283	1.1597022808748507	0.7937227897677944	0.9636060906179291
Gsap	0.9126726645633417	1.803605632751082	1.263463968306602	0.7939800353113138	1.064173344145554
Gpbp1l1	0.9126726645633417	2.38190731343211	2.800464322524557	0.7941269747974399	0.9704841061667919
Polb	0.9126726645633417	0.7183693851211378	0.8803040671436322	0.7941382208879695	1.0679294949811653
Vldlr	0.9126726645633417	0.7464639794355504	0.6277976199275883	0.7941673564792753	1.0600753647571641
Fra10ac1	0.9126726645633417	0.39468898196306346	0.46283012077901814	0.794215075193014	1.0677386504211017
Snhg3	0.9126726645633417	0.8743933327347738	0.6794389430737371	0.7942364042061837	1.0581034148373643
Gm43062	0.9126726645633417	0.2916141410137194	0.2780106190506017	0.7942792465105297	1.0680284678418637
D630002J18Rik	0.9126726645633417	0.05803862865772885	0.08185719489353074	0.7942978971735797	1.032206991136703
B230369F24Rik	0.9127336806701972	0.7710819562204972	0.9818966652953904	0.7944632529795128	1.07132405311032
Gm42549	0.9127336806701972	0.07634776781150118	0.08003658639735295	0.7945114095535126	0.9722432809932863
Pigx	0.912858661119793	0.4006159055131086	0.5654712316042494	0.794830588827933	1.0618819699486945
Pbld2	0.912858661119793	0.11493442416470397	0.15113817002186355	0.7948665608840135	1.0391588939273733
Cmtr1	0.912858661119793	0.34502484704056247	0.444763822030941	0.7949404270175682	1.0680480660012999
Trappc12	0.912858661119793	0.2834331383853889	0.34652123152866676	0.794941066054231	1.0677199922738148
Cyth1	0.9130424485504359	0.1738030590650038	0.19073067670754615	0.7951813451303489	0.96569945004567
Gm12693	0.9130781769825724	0.07348956893761563	0.12047710536519085	0.7952926968586342	0.977809441656368
Ccdc50	0.9132631029249203	1.7158287760467394	2.412895737841126	0.7955340192701876	0.94519141250737
Zfp532	0.9133827849460446	0.277786081045447	0.17967951378419017	0.7957185351454381	0.9621612429702645
Pcbp2	0.9135857502091458	3.7523018590047386	4.220853297356894	0.7960395297736187	1.0307904009042375
Gm14303	0.9135857502091458	1.244276395992587	1.897620091659277	0.7961414046124526	0.9728570189532784
Gm37718	0.9135857502091458	0.16014025289179737	0.30921860752407143	0.7961820674383391	0.9334697445790006
Mrpl48-ps	0.9135857502091458	0.11574452152474639	0.10025547984357502	0.7962526883461729	1.0224847278953428
Gm43336	0.9135857502091458	0.06621746500965894	0.10310768728077796	0.7962967536313283	1.030765803613428
Sult1a1	0.9136614892667124	1.5280087903744555	1.4678674523342006	0.7964430556701043	1.0661339087011763
Ldb1	0.9138336911564009	0.5307322072954195	0.6594116315532027	0.7966734666048026	0.9433510858987306
Anxa11	0.9138557570005544	0.2993362312657943	0.45568615840442966	0.7967730071141916	1.061742908669988
Zbtb37	0.9140760457356872	0.5204582136191338	0.7004903722307552	0.7970453955918475	0.9349563836916629
Gm6560	0.9141324748868757	0.15679493535632172	0.27702183911570416	0.7971749280120698	0.9650638348467766
Zbtb33	0.9143772217794123	0.11719498294568649	0.14147360454252847	0.7975007252359652	1.0390944683142607
Dph5	0.9143772217794123	0.33504329521471554	0.5201787884782059	0.7975726181129013	0.9351266239570749
Mapk8ip3	0.9143772217794123	0.39075204597589436	0.3843896673372707	0.7976294095434293	1.0620730797644178
