	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
Dhrs3	0.944594073019073	2.0404440134676314	3.139652380684234	3.0224412392450555	0.8858834590521252	1.0291393048320023
Rapgef5	0.9449104273679454	0.5945269972152721	1.209211844800813	1.1248479501402013	0.8864664471154425	1.039703497210257
Yipf3	0.9449104273679454	0.8153417203439829	0.9493325786097302	0.8691263441872686	0.8865632730335741	1.0429110823203003
Ak4	0.9449104273679454	0.2673275296913501	0.38636011551754557	0.3440089969664143	0.8865988913651668	1.031511037981682
Gm7204	0.9449104273679454	0.3716706734973734	0.4541654989822739	0.4891100126184682	0.886615745385276	0.9765332894547211
Aar2	0.9449104273679454	0.5589518486718474	0.8930225644061955	0.9663041772636354	0.8867814079417717	0.9627312937109147
Ddx10	0.9449104273679454	0.49704869183921735	0.8535559654759616	0.7847955679353282	0.8869673122168042	1.0385256433711207
Slc52a3	0.9449104273679454	0.6970865427757207	0.5761627826295058	0.51211054465097	0.8870592304947145	1.0423594942877146
Ech1	0.9449104273679454	1.7784504409936859	2.4158494355226687	2.5242016212302083	0.8871194430452201	0.9692548278013343
D10Jhu81e	0.9449104273679454	0.07388736131530875	0.1444982375879956	0.12396458808192354	0.8871503659831701	1.0182689470147037
Mrpl16	0.9449104273679454	0.46285269240398086	0.47038241374405165	0.5311766985861267	0.8872036982667875	0.9602957092423026
Rab9	0.9449104273679454	1.4284237416579844	1.699792858558166	1.796548027392842	0.8872700417266564	0.9654019284178436
Cpeb2	0.9449104273679454	0.5242980355903751	0.30576270109216713	0.35497986032360607	0.8873582506890207	0.9636768333813577
Dda1	0.9449104273679454	0.34915892235340673	0.4828075550430043	0.5405621650286759	0.887389923407824	0.9625106916833851
Dnajc21	0.9449104273679454	0.7980112111762527	0.538682478441664	0.5909575214908175	0.8874081729796516	0.9671424017655927
Tbc1d23	0.9449104273679454	0.5075840222410143	0.6239668230409868	0.5595600419155482	0.8874244361322342	1.0412980452142966
Cpne2	0.9451169521579956	0.05464076622704645	0.07238915050990069	0.09026969675568754	0.8877013669685185	0.9835998869830155
Klc2	0.9456830624493745	0.08009911730718791	0.08250306008373286	0.06815338486753296	0.8883161064180763	1.01343409609471
